"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6843","Add to cart from catalog page","chromium","Sun Feb 23 06:03:06 UTC 2025","passed","Sun Feb 23 06:03:13 UTC 2025","","demoPlayWright.spec.js","",""
"","6738","Logout from the app","chromium","Sun Feb 23 06:03:21 UTC 2025","passed","Sun Feb 23 06:03:28 UTC 2025","","demoPlayWright.spec.js","",""
"","7706","Add to cart from product description page","chromium","Sun Feb 23 06:03:14 UTC 2025","passed","Sun Feb 23 06:03:21 UTC 2025","","demoPlayWright.spec.js","",""
